"Series";"Time";"Value"
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T08:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T08:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T08:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T09:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T09:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T09:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T09:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T09:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T09:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T10:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T10:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T10:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T10:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T10:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T10:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T11:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T11:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T11:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T11:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T11:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T11:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T12:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T12:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T12:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T12:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T12:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T12:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T13:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T13:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T13:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T13:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T13:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T13:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T14:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T14:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T14:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T14:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T14:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T14:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T15:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T15:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T15:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T15:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T15:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T15:50:00+01:00";21.799999237060547
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T16:00:00+01:00";21.857142312186106
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T16:10:00+01:00";21.811110390557182
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T16:20:00+01:00";21.799999237060547
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T16:30:00+01:00";21.799999237060547
